序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
771,臺南市,2018/12/25,安南,3.3,0.38,-,26.7,66,24,20.06,3.59,16.47,2.225,0.14,2.086,2.64,2.3,22.43,-,-,76.2,-
772,臺南市,2018/12/25,臺南,3.1,0.47,-,24.9,67,25,21.7,4.09,17.61,2.148,0.176,1.971,2.47,2.2,22.37,-,-,78.03,-
773,臺南市,2018/12/24,新營,2.7,0.38,-,25,50,19,15.41,0.98,14.38,2.031,0.074,1.957,3.16,2.84,20.7,0,0,75.74,0
774,臺南市,2018/12/24,善化,1.4,0.35,428.73,23.3,58,15,14.31,1.01,13.25,-,-,-,3.91,3.7,21.21,-,-,75.2,-
775,臺南市,2018/12/24,安南,3.3,0.39,-,32.2,66,11,13.89,1.11,12.74,2.111,0.086,2.025,3.03,2.65,20.98,-,-,76.13,-
776,臺南市,2018/12/24,臺南,2.6,0.45,-,28.6,67,14,17.2,1.83,15.37,2.054,0.119,1.935,3.03,2.66,20.95,-,-,77.31,-
777,臺南市,2018/12/23,新營,2.2,0.44,-,18.2,94,50,16.83,1.43,15.39,2.062,0.084,1.979,2.58,2.34,22.85,0,0,81.75,0
778,臺南市,2018/12/23,善化,3,0.42,436.49,17.4,112,56,15.31,1.48,13.83,-,-,-,3.24,3.04,23.08,-,-,80.25,-
779,臺南市,2018/12/23,安南,2.4,0.45,-,23.9,106,52,16.58,0.75,15.84,2.165,0.099,2.066,2.55,2.19,22.85,-,-,81.16,-
780,臺南市,2018/12/23,臺南,2.4,0.54,-,19.9,107,53,20.25,2.18,18.07,2.117,0.141,1.976,2.54,2.22,22.8,-,-,83.85,-
781,臺南市,2018/12/22,新營,2.7,0.4,-,26.8,104,63,16.8,0.86,15.91,2.067,0.089,1.979,2.56,2.35,23.13,0,0,79.35,0
782,臺南市,2018/12/22,善化,2.3,0.41,436.95,24.5,121,61,17.27,2.14,15.13,-,-,-,3.22,3.13,23,-,-,79.26,-
783,臺南市,2018/12/22,安南,2.1,0.41,-,37.2,111,54,16.73,0.66,16.11,2.185,0.132,2.052,2.51,2.2,22.75,-,-,82.88,-
784,臺南市,2018/12/22,臺南,2.9,0.51,-,34.5,106,57,21,2.48,18.52,2.122,0.168,1.954,2.51,2.21,22.89,-,-,81.76,-
785,臺南市,2018/12/21,新營,3.1,0.39,-,32.8,72,42,18.31,2.32,15.99,2.156,0.12,2.036,2.15,1.93,22.21,1.5,7.52,71.01,252
786,臺南市,2018/12/21,善化,2.9,0.33,436.55,30.3,74,31,15.04,1.61,13.43,-,-,-,2.26,2.2,21.4,-,-,73.25,-
787,臺南市,2018/12/21,安南,3.3,0.38,-,39.5,78,34,20.63,1.76,18.92,2.315,0.172,2.143,2.19,1.9,21.9,-,-,70.33,-
788,臺南市,2018/12/21,臺南,4.2,0.47,-,42.2,78,36,20.67,1.77,18.9,2.154,0.188,1.965,2.27,1.96,22.58,-,-,68.88,-
789,臺南市,2018/12/20,新營,2.5,0.49,-,27.8,53,30,22.85,2.4,20.45,2.367,0.212,2.156,1.18,1.05,22.14,0,0,61.63,0
790,臺南市,2018/12/20,善化,1.9,0.41,451,22.6,62,21,24.83,3.86,20.96,-,-,-,1.2,0.99,20.98,-,-,65.45,-
791,臺南市,2018/12/20,安南,3.2,0.6,-,26.3,78,33,45.45,15.37,30.12,2.588,0.358,2.23,1.49,1.21,21.91,-,-,58.52,-
792,臺南市,2018/12/20,臺南,4.2,0.77,-,26.7,67,33,38.83,5.55,33.28,2.447,0.382,2.066,1.34,1.06,22.72,-,-,59.55,-
793,臺南市,2018/12/19,新營,2.5,0.47,-,29.2,76,43,18.82,1.47,17.36,2.472,0.144,2.328,1.36,1.19,20.53,0,0,74.75,0
794,臺南市,2018/12/19,善化,2,0.39,445.36,27.4,73,25,17.16,1.92,15.24,-,-,-,1.46,1.4,19.82,-,-,75.93,-
795,臺南市,2018/12/19,安南,2.9,0.56,-,33.8,86,37,31.85,7.83,24.02,2.524,0.379,2.144,1.5,1.38,20.58,-,-,71.88,-
796,臺南市,2018/12/19,臺南,2.9,0.7,-,33.7,81,34,29.39,3.68,25.71,2.419,0.325,2.093,1.38,1.11,21.09,-,-,70.7,-
797,臺南市,2018/12/18,新營,3.9,0.44,-,30.7,71,37,26.7,3.96,22.73,2.287,0.171,2.116,1.61,1.47,19.69,0,0,60.25,0
798,臺南市,2018/12/18,善化,4.3,0.5,444.43,28,86,35,26.34,2.51,23.88,-,-,-,1.5,1.39,19.2,-,-,68.01,-
799,臺南市,2018/12/18,安南,4.4,0.53,-,36.5,85,32,31.16,5.11,26.04,2.464,0.276,2.188,1.61,1.43,19.34,-,-,59.27,-
800,臺南市,2018/12/18,臺南,4.2,0.77,-,33.9,86,32,37.24,6.38,30.86,2.394,0.312,2.082,1.55,1.37,19.88,-,-,62.23,-
801,臺南市,2018/12/17,新營,2.8,0.46,-,31.1,74,35,16.25,1.06,15.19,2.112,0.111,2.002,3.14,2.82,19.63,0,0,65.27,0
802,臺南市,2018/12/17,善化,3.6,0.45,435.75,29.5,87,28,16.41,1.63,14.78,-,-,-,4.1,4.05,19.68,-,-,67.63,-
803,臺南市,2018/12/17,安南,3,0.45,-,35.9,74,22,16.7,1.04,15.62,2.199,0.125,2.074,3.12,2.71,19.44,-,-,62.34,-
804,臺南市,2018/12/17,臺南,3.1,0.52,-,33.5,86,24,18.58,2.45,16.12,2.108,0.136,1.972,3.01,2.59,19.65,-,-,65.22,-
805,臺南市,2018/12/16,新營,2.9,0.38,-,24.1,57,31,15.52,1.63,13.89,2.089,0.09,1.999,2.5,2.27,22.82,0,0,76.71,0
806,臺南市,2018/12/16,善化,3.3,0.36,435.16,22,65,25,15.08,1.22,13.83,-,-,-,3.27,3.12,22.43,-,-,78.18,-
807,臺南市,2018/12/16,安南,2.4,0.34,-,31.2,61,23,15.53,1.45,14.04,2.187,0.1,2.087,2.53,2.19,22.11,-,-,79.32,-
808,臺南市,2018/12/16,臺南,3.1,0.42,-,28.4,63,25,17.63,2.01,15.62,2.098,0.13,1.969,2.63,2.28,22.15,-,-,80.6,-
809,臺南市,2018/12/15,新營,3.2,0.37,-,26.6,55,28,16.79,1.65,15.13,2.095,0.096,1.999,1.98,1.74,21.64,0,0,78.23,0
810,臺南市,2018/12/15,善化,3.4,0.38,431.86,26.5,65,25,16.21,1.37,14.89,-,-,-,2.28,2.16,21.56,-,-,77.41,-
811,臺南市,2018/12/15,安南,2.9,0.38,-,36.1,57,23,15.35,1.3,14.02,2.149,0.104,2.045,2.06,1.78,21.55,-,-,76.47,-
812,臺南市,2018/12/15,臺南,3.2,0.46,-,32.4,62,21,19.05,2.19,16.86,2.118,0.17,1.948,1.94,1.72,21.61,-,-,78.04,-
813,臺南市,2018/12/14,新營,3.2,0.41,-,23.3,64,29,19.98,2.78,17.2,2.117,0.116,2.001,2.22,2.05,21.25,0,0,77.23,0
814,臺南市,2018/12/14,善化,2.9,0.39,435.7,20.6,65,27,19.93,2.54,17.36,-,-,-,2.49,2.47,21.21,-,-,78.71,-
815,臺南市,2018/12/14,安南,2.9,0.47,-,32.1,70,23,18.07,2.5,15.63,-,-,-,2.36,1.99,20.97,-,-,76.45,-
816,臺南市,2018/12/14,臺南,3.2,0.54,-,29.7,73,24,21.29,4.24,17.05,2.189,0.214,1.975,2.31,1.95,20.99,-,-,78.05,-
817,臺南市,2018/12/13,新營,2.7,0.49,-,23.4,53,32,17.33,2.23,15.1,2.125,0.12,2.005,2.45,2.23,20.05,0,0,74.73,0
818,臺南市,2018/12/13,善化,3.7,0.47,434.57,22.2,65,31,18.4,2.88,15.51,-,-,-,2.95,2.84,20.49,-,-,76.18,-
819,臺南市,2018/12/13,安南,2.8,0.52,-,29.2,66,29,18.21,1.84,16.41,2.228,0.14,2.088,2.4,2.05,20.04,-,-,72,-
820,臺南市,2018/12/13,臺南,2.9,0.53,-,24.8,66,27,20.81,3.88,16.93,2.179,0.184,1.995,2.43,2.08,20.12,-,-,74.33,-
821,臺南市,2018/12/12,新營,2.2,0.39,-,17.1,39,17,16.43,2.42,14.01,2.062,0.105,1.957,3.01,2.75,19.07,0,0,75.32,0
822,臺南市,2018/12/12,善化,2.9,0.35,427.1,15.3,46,11,15.45,1.84,13.61,-,-,-,4.12,3.96,19.78,-,-,76.48,-
823,臺南市,2018/12/12,安南,2.8,0.36,-,19.3,50,15,18.36,2.26,16.11,2.147,0.115,2.033,3.03,2.6,19.25,-,-,72.24,-
824,臺南市,2018/12/12,臺南,2.9,0.44,-,13.9,49,12,19.92,2.88,17.04,2.075,0.149,1.927,2.97,2.55,19.35,-,-,75.27,-
825,臺南市,2018/12/11,新營,2.4,0.38,-,14,48,27,20,4.08,15.92,2.119,0.129,1.99,2.81,2.55,22.55,0,0,82.65,0
826,臺南市,2018/12/11,善化,2.3,0.35,435.51,12.4,57,26,19.92,4.36,15.56,-,-,-,3.61,3.42,22.9,-,-,83.62,-
827,臺南市,2018/12/11,安南,2.5,0.35,-,20.8,58,24,18.07,3.42,14.64,2.219,0.133,2.086,3.03,2.5,22.39,-,-,82.94,-
828,臺南市,2018/12/11,臺南,3,0.45,-,18,59,24,21.46,4.42,17.04,2.146,0.18,1.967,2.66,2.16,22.56,-,-,83.31,-
829,臺南市,2018/12/10,新營,2.1,0.34,-,12.7,35,20,17.49,2.05,15.43,2.073,0.101,1.972,2.49,2.28,21.77,0,0,82.67,0
830,臺南市,2018/12/10,善化,2.2,0.31,427.09,12.3,43,15,16.84,2.01,14.83,-,-,-,2.98,2.93,22.2,-,-,82.37,-
831,臺南市,2018/12/10,安南,2.4,0.35,-,14.5,44,15,19.24,2.68,16.56,2.176,0.121,2.055,2.4,2.1,21.76,-,-,80.96,-
832,臺南市,2018/12/10,臺南,2.3,0.41,-,15.1,44,16,20.69,3.48,17.21,2.095,0.157,1.939,2.46,2.06,21.87,-,-,81.61,-
833,臺南市,2018/12/09,新營,2.8,0.3,-,21.4,38,15,12.08,0.93,11.14,1.991,0.058,1.934,2.87,2.63,21.5,0,0,77.29,0
834,臺南市,2018/12/09,善化,2.2,0.28,423.45,20.3,48,15,12.97,1.84,11.14,-,-,-,3.59,3.6,22.06,-,-,78,-
835,臺南市,2018/12/09,安南,3.1,0.3,-,28.1,57,13,12.58,1.13,11.45,2.069,0.057,2.012,2.92,2.56,21.53,-,-,74.54,-
836,臺南市,2018/12/09,臺南,2.8,0.35,-,24.6,60,17,13.77,1.7,12.07,1.986,0.088,1.898,2.83,2.42,21.55,-,-,76.78,-
837,臺南市,2018/12/08,新營,3.1,0.33,-,23.5,47,16,13.13,1.3,11.83,2.015,0.072,1.943,3.05,2.7,21.53,0,0,75.64,0
838,臺南市,2018/12/08,善化,3,0.31,423.7,22.9,56,15,11.9,1.18,10.72,-,-,-,3.9,3.69,21.96,-,-,77.08,-
839,臺南市,2018/12/08,安南,3,0.32,-,29,62,11,13.21,0.84,12.37,2.083,0.073,2.01,3.21,2.58,21.5,-,-,73.57,-
840,臺南市,2018/12/08,臺南,3.3,0.39,-,25.8,63,11,15.03,1.55,13.48,2.007,0.104,1.903,2.94,2.47,21.58,-,-,75.3,-
841,臺南市,2018/12/07,新營,2.5,0.35,-,22.3,71,23,15.09,1.11,13.95,2.06,0.102,1.959,3.15,2.8,23.12,0,0,77.2,0
842,臺南市,2018/12/07,善化,2.9,0.34,430.56,20.8,80,24,15.74,2.02,13.72,-,-,-,4.06,3.81,23.6,-,-,79.25,-
843,臺南市,2018/12/07,安南,2.2,0.38,-,28,81,19,15.86,1.32,14.5,2.138,0.099,2.039,3.15,2.67,23.19,-,-,76.4,-
844,臺南市,2018/12/07,臺南,3.4,0.45,-,24.6,83,24,18.26,1.94,16.32,2.073,0.139,1.934,3.07,2.54,23.26,-,-,78.25,-
845,臺南市,2018/12/06,新營,4.4,0.46,-,22.1,87,35,24.03,4.02,20,2.235,0.164,2.071,2.04,1.72,25.53,0,0,80.02,0
846,臺南市,2018/12/06,善化,3.4,0.46,444.36,26.4,97,35,19.07,2.32,16.72,-,-,-,2.21,2.07,25.39,-,-,81.98,-
847,臺南市,2018/12/06,安南,4.2,0.46,-,39.3,95,32,19.47,2.84,16.56,2.313,0.178,2.134,2.02,1.76,25.07,-,-,81.06,-
848,臺南市,2018/12/06,臺南,5,0.56,-,38.4,96,31,22.09,3.34,18.75,2.222,0.21,2.012,2.13,1.7,25.06,-,-,81.66,-
849,臺南市,2018/12/05,新營,3.8,0.46,-,20.3,78,34,20.82,3.61,17.21,2.186,0.15,2.036,2.56,2.31,25.07,0,0,77.63,0
